年份,年齡,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2022.0,45～54歲,"2,003,988",3.23,2.56,1.66,1.82,"1,591,191","956,874","126,484","10,792","27,853","219,939","25,978","151,074","89,279","29,169","33,879","52,819","144,646","44,962","4,712","13,407","6,244","9,515"
2022.0,55～64歲,"2,043,775",2.77,2.61,1.63,1.87,"1,497,717","853,593","119,413","10,498","23,359","209,430","26,237","151,575","78,979","26,463","27,729","17,912","117,856","44,142","4,555","11,757","2,882","8,535"
2022.0,65歲及以上,"2,247,438",1.94,1.89,0.43,1.39,"770,194","584,366","92,627","4,597","11,655","171,476","17,169","135,021","35,140","13,089","15,092","2,310","57,199","28,991","2,720","7,752","1,026","3,595"
2023.0,未滿30歲,"346,977",2.96,2.84,1.68,2.1,"1,355,843","849,848","123,767","9,624","23,136","194,864","23,659","150,092","75,785","28,361","34,093","9,116","136,169","41,182","9,637","13,056","2,042","9,358"
2023.0,30～34歲,"511,974",3.09,2.74,1.68,2.13,"1,570,505","950,910","131,678","9,596","28,482","222,539","28,887","162,235","90,244","28,253","41,124","12,809","143,138","51,925","14,795","14,308","2,387","9,634"
2023.0,35～39歲,"683,527",3.34,2.67,1.65,2.1,"1,597,361","966,089","140,851","8,211","28,695","216,802","29,318","163,444","87,299","28,497","38,620","29,150","146,684","48,518","11,000","14,917","3,293","9,410"
2023.0,40～44歲,"1,050,083",3.41,2.57,1.58,1.97,"1,598,710","990,388","139,868","9,457","27,689","222,644","27,934","156,884","92,133","28,194","43,043","47,989","150,925","43,628","12,174","17,074","4,929","8,866"
2023.0,45～54歲,"2,087,026",3.24,2.72,1.66,1.86,"1,638,733","1,001,678","134,768","11,645","27,274","218,224","26,635","163,150","99,010","29,299","42,107","52,562","148,495","48,509","12,589","14,085","6,203","9,230"
2023.0,55～64歲,"2,072,464",2.7,2.59,1.64,1.88,"1,520,923","873,437","123,620","10,227","24,244","209,849","27,418","151,093","81,172","26,216","36,421","16,330","122,774","44,073","13,242","12,317","2,682","8,180"
2023.0,65歲及以上,"2,367,948",1.92,1.88,0.47,1.41,"812,358","621,783","97,067","4,682","12,557","184,587","17,405","137,154","36,575","13,705","21,341","2,492","63,205","31,013","7,996","8,322",993,"4,030"
